stop_id,stop_name,stop_lat,stop_lon
i-o417,Vukovar-Borovo naselje,45.3734192625,18.9552340439
i-o750,Žutnica,46.1821226472,15.8536367943
i-o558,Perkovci,45.2085555357,18.3495588786
i-o446,Antunovac,45.4835931019,18.6701419477
i-o549,Rajić,45.2959750533,17.1025147233
i-o562,Zadubravlje,45.1685435369,18.1535453951
i-o798,Gornji Zvečaj,45.3759445799,15.4123797382
i-o585,Kalinovac,46.0128483098,17.095933003
i-o948,Bakovići,43.6415938567,16.1885406486
i-o860,Rijeka,45.3300874969,14.4302604034
i-o559,Andrijevci,45.1907748793,18.2928904688
i-o765,Macinec,46.38754872,16.3249475494
i-o970,Primorski Sveti Juraj,43.6963384733,15.9468064448
i-o695,Zaprešić,45.8444036946,15.8131100427
i-o985,Smoljanci,45.0917764439,13.8444887438
i-o946,Perković,43.6755816098,16.1177946074
i-o491,Šaš,45.2850235203,16.6684406594
i-o701,Brdovec,45.863822797,15.7664473263
i-o678,Zbelava,46.2814052167,16.3990064576
i-o849,Vrata,45.3176533215,14.7320842312
i-o762,Lepoglava,46.2131120765,16.0434605652
i-o556,Lužani-Malino,45.1705049896,17.7168227438
i-o601,Božjakovina,45.8222591134,16.3071395197
i-o769,Čehovec,46.3703133895,16.6164357117
i-o618,Škrinjari,45.9370546994,16.5932670383
i-o971,Mandalina,43.7200648108,15.9069358888
i-o582,Vukosavljevica,45.8749307223,17.2538053278
i-o784,Horvati,45.7137207163,15.8174557503
i-o796,Belavići,45.4222203081,15.4790694219
i-o644,Velika,45.4389359699,17.6654643586
i-o654,Koreničani,45.6541847662,17.3580805972
i-o999,Roč,45.4003666843,14.038876151
i-o751,Đurmanec,46.1937818519,15.8431762668
i-o492,Papići,45.3078983831,16.6344821584
i-o577,Pčelić,45.7800882208,17.5255854441
i-o563,Donja Vrba,45.1635935738,18.1214624064
i-o628,Lubena,45.9236,16.5141
i-o732,Hrašćina-Trgovišće,46.1055433277,16.1996543314
i-o994,Heki,45.2253328356,13.8943926303
i-o739,Špičkovina,46.0317300443,15.9703413731
i-o557,Nova Kapela-Batrina,45.1898264923,17.6502620684
i-o728,Poznanovec,46.0496968324,16.0295498458
i-o631,Našice Grad,45.4874379224,18.0882118717
i-o614,Klokočevac,45.9101124226,16.7751966026
i-o745,Gornja Stubica,45.9832738312,16.0041448595
i-o427,Spačva,45.0412436382,18.9040967516
i-o944,Cera,43.7048172684,16.1768882729
i-o947,Primorski Dolac,43.6366902827,16.1588202602
i-o432,Vinkovci Bolnica,45.2926029035,18.822599076
i-o800,Donje Dubrave,45.3119703799,15.3625990794
i-o483,Petrove Gore,45.5556595585,18.6505404339
i-o441,Ostrovo,45.3356746,18.7774832524
i-o758,Cerje Tužno,46.2597138994,16.2187238442
i-o913,Knin,44.0366469582,16.1983566454
i-o523,Zagreb Glavni kolodvor,45.8044511799,15.9788116194
i-o937,Tepljuh,43.8933701298,16.2103415265
i-o672,Kunovec-Subotica,46.1937309537,16.7565964104
i-o787,Jastrebarsko,45.6572023616,15.647834497
i-o433,Vinkovačko Novo Selo,45.2900316322,18.7814734127
i-o753,Dukovec,46.0960892789,15.8960476387
i-o470,Lipovac-Koritna,45.4215223368,18.5236580906
i-o674,Čukovec,46.2359524999,16.6659782271
i-o749,Krapina,46.1594733404,15.8721073781
i-o960,Kaštel Gomilica,43.5534973434,16.4001883132
i-o742,Oroslavje,46.0015189683,15.9289342379
i-o889,Ličko Lešće,44.7731550267,15.3586151169
i-o756,Pristava Krapinska,46.13714,15.877612
i-o540,Dugo Selo,45.8013583056,16.2347324102
i-o975,Lupoglav,45.355538928,14.1054264621
i-o430,Gunja,44.8827790838,18.8443335118
i-o875,Vojnovac,45.1499836658,15.3342075156
i-o848,Lokve,45.3566454524,14.7722343188
i-o668,Poljana,45.4630460063,16.978955409
i-o519,Sesvetska Sopnica,45.82486,16.08744
i-o792,Karlovac Centar,45.4880952841,15.5492424181
i-o981,Heki stajalište,45.2155302579,13.8871831997
i-o799,Generalski Stol,45.3434140617,15.3765261432
i-o726,Dubrava Zabočka,46.02093388,15.9526407207
i-o685,Čačinci,45.5986217891,17.8689672625
i-o624,Mišulinovac,45.9347418741,16.9449073885
i-o870,Rukavac,45.37003,14.30394
i-o990,Galižana,44.9334649803,13.871456348
i-o639,Knežci,45.3368322108,17.897878798
