service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr1006_9,20260202,20260208,1,1,1,1,1,1,1
i-tr1008_1,20251208,20251214,0,0,0,0,0,0,1
i-tr1008_10,20260209,20260215,1,1,1,1,1,1,1
i-tr1008_11,20260216,20260222,1,1,1,1,1,1,1
i-tr1008_12,20260223,20260301,1,1,1,1,1,1,1
i-tr1008_13,20260302,20260308,1,1,1,1,1,1,1
i-tr1008_14,20260309,20260315,1,1,1,1,1,1,1
i-tr1008_15,20260316,20260322,1,1,1,1,1,1,1
i-tr1008_16,20260323,20260329,1,1,1,1,1,1,1
i-tr1008_17,20260330,20260405,1,1,1,1,1,1,1
i-tr1008_18,20260406,20260412,1,1,1,1,1,1,1
i-tr1008_19,20260413,20260419,1,1,1,1,1,1,1
i-tr1008_2,20251215,20251221,1,1,1,1,1,1,1
i-tr1008_20,20260420,20260426,1,1,1,1,1,1,1
i-tr1008_21,20260427,20260503,1,1,1,1,1,1,1
i-tr1008_22,20260504,20260510,1,1,1,1,1,1,1
i-tr1008_23,20260511,20260517,1,1,1,1,1,1,1
i-tr1008_24,20260518,20260524,1,1,1,1,1,1,1
i-tr1008_25,20260525,20260531,1,1,1,1,1,1,1
i-tr1008_26,20260601,20260607,1,1,1,1,1,1,1
i-tr1008_27,20260608,20260614,1,1,1,1,1,1,1
i-tr1008_28,20260615,20260621,1,1,1,1,1,1,1
i-tr1008_29,20260622,20260628,1,1,1,1,1,0,0
i-tr1008_3,20251222,20251228,1,1,1,1,1,1,1
i-tr1008_38,20260824,20260830,0,0,0,0,0,1,1
i-tr1008_39,20260831,20260906,1,1,1,1,1,1,1
i-tr1008_4,20251229,20260104,1,1,1,1,1,1,1
i-tr1008_40,20260907,20260913,1,1,1,1,1,1,1
i-tr1008_41,20260914,20260920,1,1,1,1,1,1,1
i-tr1008_42,20260921,20260927,1,1,1,1,1,1,1
i-tr1008_43,20260928,20261004,1,1,1,1,1,1,1
i-tr1008_44,20261005,20261011,1,1,1,1,1,1,1
i-tr1008_45,20261012,20261018,1,1,1,1,1,1,1
i-tr1008_46,20261019,20261025,1,1,1,1,1,1,1
i-tr1008_47,20261026,20261101,1,1,1,1,1,1,1
i-tr1008_48,20261102,20261108,1,1,1,1,1,1,1
i-tr1008_49,20261109,20261115,1,1,1,1,1,1,1
i-tr1008_5,20260105,20260111,1,1,1,1,1,1,1
i-tr1008_50,20261116,20261122,1,1,1,1,1,1,1
i-tr1008_51,20261123,20261129,1,1,1,1,1,1,1
i-tr1008_52,20261130,20261206,1,1,1,1,1,1,1
i-tr1008_53,20261207,20261213,1,1,1,1,1,1,0
i-tr1008_6,20260112,20260118,1,1,1,1,1,1,1
i-tr1008_7,20260119,20260125,1,1,1,1,1,1,1
i-tr1008_8,20260126,20260201,1,1,1,1,1,1,1
i-tr1008_9,20260202,20260208,1,1,1,1,1,1,1
i-tr1009_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1009_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1009_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1009_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1009_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1009_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1009_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1009_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1009_18,20260406,20260412,1,1,1,1,1,0,0
i-tr1009_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1009_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1009_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1009_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1009_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1009_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1009_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1009_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1009_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1009_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1009_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1009_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1009_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1009_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1009_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1009_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1009_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1009_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1009_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1009_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1009_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1009_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1009_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1009_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1009_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1009_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1009_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1009_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1009_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1009_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1009_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1009_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1009_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1009_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1009_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1009_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1009_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1009_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1009_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1009_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1009_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1009_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1009_9,20260202,20260208,1,1,1,1,1,0,0
i-tr101_10,20260209,20260215,0,0,0,0,1,0,0
i-tr101_11,20260216,20260222,0,0,0,0,1,0,0
i-tr101_12,20260223,20260301,0,0,0,0,1,0,0
i-tr101_13,20260302,20260308,0,0,0,0,1,0,0
i-tr101_14,20260309,20260315,0,0,0,0,1,0,0
i-tr101_15,20260316,20260322,0,0,0,0,1,0,0
i-tr101_16,20260323,20260329,0,0,0,0,1,0,0
i-tr101_17,20260330,20260405,0,0,0,0,1,0,0
i-tr101_18,20260406,20260412,0,0,0,0,1,0,0
i-tr101_19,20260413,20260419,0,0,0,0,1,0,0
i-tr101_2,20251215,20251221,0,0,0,0,1,0,0
i-tr101_20,20260420,20260426,0,0,0,0,1,0,0
i-tr101_21,20260427,20260503,0,0,0,1,0,0,0
i-tr101_22,20260504,20260510,0,0,0,0,1,0,0
i-tr101_23,20260511,20260517,0,0,0,0,1,0,0
i-tr101_24,20260518,20260524,0,0,0,0,1,0,0
i-tr101_25,20260525,20260531,0,0,0,0,1,0,0
i-tr101_26,20260601,20260607,0,0,1,0,0,0,0
i-tr101_27,20260608,20260614,0,0,0,0,1,0,0
i-tr101_43,20260928,20261004,0,0,0,0,1,0,0
